index	Artist	Top Genre
1	Norah Jones	adult standards
2	Deep Purple	album rock
3	Gorillaz	alternative hip hop
4	Foo Fighters	alternative metal
5	Bruce Springsteen	classic rock
6	City To City	alternative pop rock
7	Maroon 5	pop
8	Muse	modern rock
9	The Killers	modern rock
10	Eminem	detroit hip hop
11	Elvis Presley	adult standards
12	The White Stripes	alternative rock
13	De Dijk	dutch indie
14	Ten Years After	album rock
15	Arctic Monkeys	garage rock
16	Paul de Leeuw	dutch cabaret
17	Coldplay	permanent wave
18	Alanis Morissette	alternative rock
19	John Miles	classic uk pop
20	Justin Timberlake	dance pop
21	Mumford & Sons	modern folk rock
22	Jan Smit	dutch pop
23	BLØF	dutch pop
24	Ilse DeLange	dutch americana
25	Editors	alternative dance
26	Herbert Grönemeyer	german pop
27	Youssou N'Dour	afropop
28	Robert Plant	album rock
29	Adele	british soul
30	Amy Winehouse	british soul
31	Sandy Coast	classic uk pop
32	The Goo Goo Dolls	alternative rock
33	U2	irish rock
34	Guus Meeuwis	dutch pop
35	Santa Esmeralda	disco
36	Tiësto	big room
37	Franz Ferdinand	alternative rock
38	Green Day	modern rock
39	Linkin Park	alternative metal
40	Robbie Williams	dance pop
41	Lou Reed	art rock
42	Snow Patrol	irish rock
43	Barry White	adult standards
44	Saybia	danish pop rock
45	Pearl Jam	alternative rock
46	James Blunt	neo mellow
47	Metallica	alternative metal
48	Christina Aguilera	dance pop
49	Elbow	britpop
50	Beyoncé	dance pop
51	Backstreet Boys	boy band
52	Golden Earring	album rock
53	Rowwen Hèze	carnaval limburg
54	Johnny Cash	arkansas country
55	Doe Maar	dutch cabaret
56	Manu Chao	latin alternative
57	3 Doors Down	alternative metal
58	Seal	british soul
59	P!nk	dance pop
60	Status Quo	album rock
61	Stereophonics	britpop
62	Queens of the Stone Age	alternative metal
63	Peter Sarstedt	british folk
64	The Dubliners	celtic
65	Michael Jackson	pop
66	Jacques Brel	chanson
67	Volbeat	alternative metal
68	Marco Borsato	dutch cabaret
69	Spinvis	dutch indie
70	Twarres	dutch pop
71	Enya	celtic
72	Blue	boy band
