 Index	Year	Decade
1	2004	2000
2	2000	2000
3	2001	2000
4	2007	2010
5	2002	2000
6	2004	2000
7	2002	2000
8	2006	2010
9	2004	2000
10	2002	2000
11	2002	2000
12	2003	2000
13	2000	2000
14	2005	2010
15	2007	2010
16	2006	2010
17	2005	2010
18	2005	2010
19	2004	2000
20	2002	2000
21	2005	2010
22	2009	2010
23	2006	2010
24	2004	2000
25	2002	2000
26	2008	2010
27	2007	2010
28	2002	2000
29	2008	2010
30	2004	2000
31	2002	2000
32	2007	2010
33	2008	2010
34	2002	2000
35	2006	2010
36	2009	2010
37	2007	2010
38	2006	2010
39	2002	2000
40	2005	2010
41	2003	2000
42	2009	2010
43	2004	2000
44	2004	2000
45	2003	2000
46	2002	2000
47	2008	2010
48	2004	2000
49	2009	2010
50	2005	2010
51	2009	2010
52	2000	2000
53	2005	2010
54	2008	2010
55	2006	2010
56	2009	2010
57	2004	2000
58	2006	2010
59	2001	2000
60	2008	2010
61	2005	2010
62	2000	2000
63	2008	2010
64	2001	2000
65	2000	2000
66	2004	2000
67	2001	2000
68	2002	2000
69	2004	2000
70	2003	2000
71	2008	2010
72	2002	2000
73	2008	2010
74	2008	2010
75	2009	2010
76	2003	2000
77	2004	2000
78	2007	2010
79	2006	2010
80	2009	2010
81	2002	2000
82	2001	2000
83	2000	2000
84	2004	2000
85	2005	2010
86	2006	2010
87	2007	2010
88	2007	2010
89	2002	2000
90	2002	2000
91	2007	2010
92	2003	2000
93	2006	2010
94	2002	2000
95	2008	2010
96	2009	2010
97	2007	2010
98	2005	2010
99	2002	2000
100	2002	2000
101	2000	2000
102	2008	2010
103	2004	2000
104	2003	2000
105	2003	2000
106	2009	2010
107	2004	2000
108	2009	2010
109	2007	2010
110	2007	2010
111	2006	2010
112	2004	2000
113	2005	2010
114	2002	2000
115	2005	2010
116	2007	2010
117	2001	2000
118	2001	2000
119	2008	2010
120	2009	2010
121	2008	2010
122	2008	2010
123	2009	2010
124	2004	2000
125	2001	2000
126	2003	2000
127	2005	2010
128	2003	2000
129	2006	2010
130	2009	2010
131	2001	2000
132	2001	2000
133	2006	2010
134	2002	2000
135	2001	2000
136	2006	2010
137	2005	2010
138	2001	2000
139	2005	2010
140	2001	2000
141	2009	2010
142	2000	2000
143	2008	2010
144	2000	2000
145	2002	2000
146	2005	2010
147	2004	2000
148	2003	2000
149	2000	2000
150	2007	2010
151	2006	2010
152	2004	2000
153	2007	2010
154	2008	2010
155	2008	2010
156	2002	2000
157	2009	2010
158	2005	2010
159	2004	2000
160	2008	2010
161	2004	2000
162	2001	2000
163	2009	2010
164	2006	2010
165	2009	2010
166	2003	2000
167	2005	2010
168	2007	2010
169	2005	2010
170	2002	2000
171	2001	2000
172	2009	2010
173	2008	2010
174	2008	2010
175	2008	2010
176	2008	2010
177	2000	2000
178	2003	2000
179	2008	2010
180	2004	2000
181	2007	2010
182	2004	2000
183	2003	2000
184	2009	2010
185	2006	2010
186	2008	2010
187	2002	2000
188	2008	2010
189	2001	2000
190	2009	2010
191	2008	2010
192	2006	2010
193	2000	2000
194	2000	2000
195	2001	2000
196	2004	2000
197	2008	2010
198	2006	2010
199	2005	2010
200	2006	2010
201	2002	2000
202	2004	2000
203	2000	2000
204	2006	2010
205	2007	2010
206	2008	2010
207	2008	2010
208	2008	2010
209	2008	2010
210	2007	2010
211	2003	2000
212	2004	2000
213	2004	2000
214	2002	2000
215	2007	2010
216	2001	2000
217	2008	2010
218	2007	2010
219	2001	2000
220	2000	2000
221	2002	2000
222	2006	2010
223	2009	2010
224	2009	2010
225	2009	2010
226	2002	2000
227	2005	2010
228	2003	2000
229	2002	2000
230	2008	2010
231	2005	2010
232	2004	2000
233	2000	2000
234	2000	2000
235	2001	2000
236	2009	2010
237	2004	2000
238	2006	2010
239	2003	2000
240	2000	2000
241	2007	2010
242	2006	2010
243	2008	2010
244	2009	2010
245	2008	2010
246	2007	2010
247	2005	2010
248	2003	2000
249	2006	2010
250	2006	2010
251	2008	2010
252	2001	2000
253	2008	2010
254	2002	2000
255	2004	2000
256	2003	2000
257	2006	2010
258	2008	2010
259	2003	2000
260	2000	2000
261	2002	2000
262	2002	2000
263	2003	2000
264	2006	2010
265	2009	2010
266	2001	2000
