 index	Title	Beats Per Minute	Popularity
1	Sunrise	157	71
2	Black Night	135	39
3	Clint Eastwood	168	69
4	The Pretender	173	76
5	Waitin' On A Sunny Day	106	59
6	The Road Ahead (Miles Of The Unknown)	99	45
7	She Will Be Loved	102	74
8	Knights of Cydonia	137	69
9	Mr. Brightside	148	77
10	Without Me	112	82
11	Love Me Tender	109	49
12	Seven Nation Army	124	74
13	Als Het Golft	102	34
14	I'm going home	117	26
15	Fluorescent Adolescent	112	66
16	Zonder Jou	133	48
17	Speed of Sound	123	69
18	Uninvited	127	57
19	Music	87	46
20	Cry Me a River	74	74
21	Fix You	138	81
22	The Cave	142	67
23	Als De Morgen Is Gekomen	96	55
24	Somebody Told Me	138	69
25	Dichterbij Dan Ooit	112	16
26	Miracle	130	50
27	Smokers Outside the Hospital Doors	123	56
28	Cleanin' Out My Closet	148	71
29	Der Weg	142	48
30	7 Seconds (feat. Neneh Cherry)	154	59
31	The Scientist	146	84
32	Big Log - 2006 Remaster	181	57
33	Chasing Pavements	80	63
34	Don't Know Why	88	74
35	Tears Dry On Their Own	122	72
36	The Eyes of Jenny	119	44
37	Iris	156	75
38	The Saints Are Coming	152	40
39	All My Life	168	72
40	De Weg	72	42
41	Don't Let Me Be Misunderstood	118	59
42	Traffic - Radio Edit	138	53
43	Take Me Out	105	74
44	American Idiot	186	78
45	Breaking the Habit	100	65
46	Come Undone	168	56
47	Sweet Jane	115	43
48	Run	75	65
49	"You're The First, The Last, My Everything"	131	67
50	The Day After Tomorrow	76	51
51	Just Breathe	108	69
52	Dansen Aan Zee	194	52
53	Goodbye My Lover	90	69
54	The Unforgiven III	122	52
55	Hurt	149	67
56	Grounds for Divorce	92	43
57	Sometimes You Can't Make It On Your Own	96	57
58	"Listen (From the Motion Picture ""Dreamgirls"")"	123	44
59	I Want It That Way	99	77
60	Goin To The Run	124	38
61	De Neus Umhoeg	132	32
62	Solitary Man	86	47
63	Smoorverliefd	166	48
64	Me Gustas Tu	176	70
65	Kryptonite	99	77
66	Crazy	103	63
67	Family Portrait	92	56
68	In The Army Now	105	59
69	I Surrender	136	55
70	Maybe Tomorrow	81	64
71	Make You Feel My Love	77	73
72	No One Knows	171	65
73	Where Do You Go To (My Lovely) - Re-Recorded	183	58
74	The Wild Rover	178	46
75	Little Lion Man	139	67
76	Dirty Diana	131	55
77	Ne me quitte pas	101	58
78	Sad Man's Tongue	110	57
79	Wat Zou Je Doen - Live	104	30
80	One Day Like This	159	45
81	Bagagedrager	160	45
82	Wêr Bisto	88	48
83	Only Time	83	70
84	Sorry Seems To Be The Hardest Word	79	58
85	Self Esteem	105	72
86	Aanzoek Zonder Ringen	160	42
87	Modern World	120	42
88	Rosie	100	43
89	This Is Not America - 2002 Remaster	115	43
90	Times Like These	145	65
91	De Vondeling Van Ameland	110	19
92	I'm Gonna Be (500 Miles)	132	74
93	Afscheid Nemen Bestaat Niet	128	49
94	Blauwe Ruis	130	41
95	Limburg - Live	157	32
96	21 Guns	160	75
97	Valerie (feat. Amy Winehouse) - Version Revisited	106	62
98	Blaosmuziek	61	38
99	Binnen	92	30
100	Motorcycle Emptiness	112	39
101	In the End	105	83
102	Halt mich	104	44
103	Girl	136	56
104	"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984"	162	40
105	Ik Wou Dat Ik Jou Was	160	58
106	Empire State of Mind (Part II) Broken Down	93	75
107	Numb / Encore	107	75
108	Ben Ik Te Min	101	47
109	All Summer Long	103	72
110	Forever Autumn	122	41
111	Waiting On the World to Change	177	74
112	Everybody's Changing	94	54
113	How to Save a Life	122	80
114	"Bloed, Zweet En Tranen"	68	59
115	"Lose Yourself - From ""8 Mile"" Soundtrack"	171	77
116	Europa (Earth's Cry Heaven's Smile)	75	59
117	Feeling Good	109	51
118	"Harder, Better, Faster, Stronger"	123	71
119	Use Somebody	137	76
120	Sweet Disposition	129	64
121	Single Ladies (Put a Ring on It)	193	70
122	You're the Voice	85	62
123	Voltooid Verleden Tijd	138	39
124	Eternal Flame	79	70
125	Papa Was A Rolling Stone	120	44
126	Crazy In Love (feat. Jay-Z)	99	75
127	Best of You	130	75
128	Daughters	125	68
129	De wedstrijd	136	42
130	Papillon	126	56
131	Sadeness	96	58
132	Red Mij Niet - Single Edit	119	36
133	Love Is A Losing Game	165	67
134	Zij	58	52
135	Tribute	94	59
136	You Know I'm No Good	103	74
137	Talk	120	63
138	Love Is A Battlefield	91	54
139	Home	128	64
140	Sonne	75	60
141	I Gotta Feeling	128	69
142	She Sells Sanctuary	139	63
143	Alie	93	42
144	Red Red Wine	89	74
145	A Little Less Conversation - JXL Radio Edit Remix	115	64
146	Love You More	171	43
147	Old Man	141	44
148	Zij Maakt Het Verschil	173	54
149	I Want To Hold Your Hand - Remastered 2015	131	75
150	Black Magic Woman	124	62
151	Set The Fire To The Third Bar	96	49
152	Ghost Love Score	101	38
153	Going To A Town	124	38
154	Is Dit Alles	121	44
155	A Gentleman's Excuse Me	126	44
156	God Put a Smile upon Your Face	127	64
157	Heartbreak Warfare	97	66
158	Sailing to Philadelphia	99	39
159	Accidentally In Love	138	59
160	It's Raining Men	136	58
161	One Word	92	52
162	Goodnight Saigon	129	46
163	Moonlight Shadow	129	64
164	Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder	130	41
165	Uprising	128	76
166	My Immortal	79	74
167	Feel Like Flying	98	41
168	Everything	123	73
169	Hey There Delilah	104	80
170	Speeltuin	112	50
171	"Comptine d'un autre été, l'après-midi"	100	56
172	Sweet Goodbyes	110	56
173	The Man Who Can't Be Moved	100	64
174	"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007"	173	75
175	Halo	80	78
176	Hollereer	190	46
177	Hier	164	40
178	Ice Queen	92	47
179	Another 45 Miles	91	50
180	Like a Hurricane - 2003 Remaster	114	49
181	Father & Friend	98	35
182	"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack"	109	70
183	The Blower's Daughter	133	56
184	Magnificent	115	44
185	Virtual Insanity - Remastered	92	69
186	Belle Hélène	138	49
187	Go With The Flow	159	58
188	Sound Of The Screameng Day	138	26
189	Plug in Baby	136	53
190	Heavy Cross	120	59
191	Nederwiet	131	39
192	Heart Of Glass	115	52
193	The Real Slim Shady	105	80
194	Stuck In A Moment You Can't Get Out Of	159	52
195	Tumble and Fall	170	36
196	Les lacs du Connemara	112	59
197	Hier Kom Ik Weg	92	39
198	Starlight	122	73
199	Dakota	147	68
200	Time To Say Goodbye (Con Te Partirò)	105	59
201	Green Eyes	130	63
202	Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit	138	58
203	De Kapitein Deel II	115	51
204	Supermassive Black Hole	120	73
205	Pak Maar M'n Hand	166	59
206	De Bom	133	49
207	Bombay	125	34
208	Mary Jane's Last Dance	170	72
209	Oerend Hard	127	52
210	Society	162	67
211	White Flag	170	54
212	Heaven Must Be Missing An Angel - Pt. 1	117	49
213	Wake Me up When September Ends	105	77
214	Can't Stop	91	80
215	Driving Home for Christmas	180	80
216	Mutter	116	51
217	Pa	129	41
218	Blauw	135	47
219	Spicks And Specks	123	47
220	Stan	80	75
221	Beautiful	76	71
222	Gravity	124	75
223	Leave the Light On	142	32
224	Ruthless Queen	124	32
225	Everlong - Acoustic Version	144	69
226	Here Without You	144	75
227	One	186	61
228	Mijn Houten Hart	70	45
229	Mad World (Feat. Michael Andrews)	174	70
230	Sinds 1 Dag Of 2 (32 Jaar)	114	53
231	Feeling Good	115	64
232	The Wall Street Shuffle	98	46
233	Song 2	130	64
234	I Would Stay	95	55
235	Piano Man	179	70
236	Fireflies	180	79
237	Lost	90	51
238	Woman	113	62
239	Where Is The Love?	94	66
240	Yellow	173	82
241	This Is The Life	95	41
242	Wicked Game	113	70
243	Breakeven	94	74
244	Not An Addict	169	43
245	So Incredible	104	54
246	Mr Rock & Roll	111	30
247	Will You Be There - Single Version	83	53
248	Vlinder	175	33
249	Cambodia	111	51
250	Back To Black	123	77
251	Dochters	128	57
252	Hocus Pocus	184	53
253	Mensch	174	47
254	Amsterdam	73	57
255	Time Is Running Out	118	69
256	Rain Down on Me	133	47
257	Denis	139	42
258	Hometown Glory	123	59
259	Live And Let Die - Live	150	60
260	I Still Cry	98	30
261	Ren Lenny Ren	110	43
262	In My Place	145	70
263	Numb	110	81
264	Slow Dancing in a Burning Room	134	76
265	Empire State Of Mind	174	77
266	Drops of Jupiter	79	77
267	Omarm	184	46
268	(What A) Wonderful World	129	71
269	Teardrops	133	61
270	The Rising	110	53
271	Snow (Hey Oh)	105	80
272	I Don't Wanna Hurt	79	46
273	Ordinary People	67	69
274	Iedereen Is Van De Wereld	118	50
275	Gold	143	66
276	All Night Long (All Night) - Single Version	109	64
277	Can't Stop Loving You - 2016 Remaster	100	62
278	City Of Blinding Lights	139	60
279	Munich	149	61
280	Hey Ya!	80	79
281	There Must Be an Angel (Playing with My Heart)	112	40
282	Laat Me / Vivre - Lange Versie	81	43
283	Watskeburt?!	130	55
284	Feel	98	72
285	Lady Jane - (Original Single Mono Version)	205	34
286	La Isla Bonita	100	66
287	Go Like Elijah	134	40
288	Chop Suey!	127	80
289	Sorry - (Live in Tivoli)	68	47
290	Black or White - Single Version	115	64
291	Shut Your Eyes	125	42
292	Ironic	171	62
293	I Bet You Look Good On The Dancefloor	103	58
294	Hurt	90	75
295	Vogue	116	66
296	If I Were a Boy	90	68
297	Dyna-Mite	141	40
298	Une Belle Histoire (Een Mooi Verhaal)	87	38
299	Sandstorm - Radio Edit	136	61
300	Right Next Door (Because Of Me)	87	52
301	Hald Mich 'S Vas	179	39
302	Like a Prayer	111	71
303	Rockin' All Over The World	131	47
304	Blue Hotel	149	42
305	Dear Mr. President	128	43
306	Stiekem Gedanst	96	53
307	Human	135	73
308	Lady Madonna - Remastered 2015	110	63
309	Both Sides Now	78	65
310	God Is a DJ	131	57
311	Viva La Vida	138	78
312	Kids	123	76
313	Bend & Break	138	43
314	We Can Work It Out - Remastered 2015	106	63
315	Sing for Absolution	170	57
316	Superstition - Single Version	100	77
317	Vertigo	140	65
318	By the Way	122	74
319	Hey Jude	74	63
320	November	186	35
321	Geef Mij Je Angst	81	54
322	Stuck In The Middle With You	124	72
323	Het Regent Zonnestralen	108	57
324	Violet Hill	76	61
325	Dog Days Are Over	150	69
326	Beautiful Day	136	63
327	Major Tom	164	48
328	An End Has a Start	150	53
329	Lost!	87	53
